"rab.all"	"rab.win.ri"	"rab.win.ro"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"pentose phosphate pathway (non-oxidative branch)"	1.97050466004505	1.55997755901012	3.11546559206577	1.26756924115186	1.29183866317704	0.824228702499248	0.229504556116473	0.0218148278823711	0.0764159069515363	0.059424722336487	0.171294516619059
"formaldehyde assimilation III (dihydroxyacetone cycle)"	1.33593957895567	1.08632952914976	2.4255124610173	1.23922666282554	1.22468743456812	0.711630748330856	0.259777779063013	0.0374111831437679	0.0764715316110286	0.0986069107363225	0.176376123429194
"octane oxidation"	0.842489819056757	0.451607306575867	1.35693239799202	1.29625523829209	1.79603726083644	0.678207184249457	0.226394136243249	0.0350879262179909	0.0764452554958151	0.0526701357466063	0.171399056469634
"phosphopantothenate biosynthesis I"	1.55184764047306	1.22673628546714	2.65416469265401	1.23969631144125	1.18909047018588	0.799850374615225	0.196222224203774	0.0204459459544237	0.0764159069515363	0.0346661456190868	0.171188269858031
"pentose phosphate pathway"	1.39160890372861	1.11438642748939	2.51086040049039	1.27504268440499	1.25149095831961	0.712633112830271	0.27644444559429	0.0473662905943598	0.0815207724239454	0.11680900863842	0.188492832514709
"glycolysis IV (plant cytosol)"	1.22660128128246	0.934206327445549	2.17177243588776	1.21286713519735	1.13910648888211	0.758691382893237	0.239502334285673	0.0299343858337003	0.0764159069515363	0.0663106129164953	0.171385332213235
"trehalose degradation V"	-2.26042541059786	-1.96465641815334	-2.50720088508263	-0.562720376548317	4.66670968398649	-0.131007163177041	0.434125750109123	0.1444866351286	0.198324795747633	0.675928671328671	0.7808946117584
"aerobic respiration I (cytochrome c)"	3.24157878619162	2.99929332652981	4.3896620588082	1.23026271758876	1.40464377590932	0.641317087897848	0.293333334359051	0.0701712300701598	0.110461451319878	0.148168490333196	0.222549738215846
"L-glutamate degradation IV"	-0.699809922574184	-0.810980949149343	-0.531326290997016	0.723707061007834	2.33271003284769	0.151846306475193	0.380888889408548	0.657549455585556	0.72329637814689	0.439592431098313	0.583180993228489
"phytate degradation I"	-1.24731343995104	-0.942555950784488	-1.92952007431729	-0.857877191510263	5.37249473349909	-0.149055203178465	0.434125750109123	0.153797084138934	0.208646435123312	0.6798885643768	0.784839807449601
"L-proline biosynthesis II (from arginine)"	1.57399388967269	1.22598538553154	2.77709794753365	1.21493110567727	1.36386939576116	0.761491320697039	0.253721396583049	0.0303500699069887	0.0764159069515363	0.081075771287536	0.172122968982352
"urea cycle"	1.41866389646267	1.12321478377773	2.66092463808628	1.20168409548957	1.37325297761608	0.725672838418736	0.25777777908025	0.0366780555151628	0.0764284328971122	0.0955676676264912	0.175863319572883
"glycogen biosynthesis II (from UDP-D-Glucose)"	1.64467670298675	1.27914951010946	2.82773149492104	1.17874532056835	1.35947036477753	0.758605210199549	0.232837148838673	0.0279816117352994	0.0764159069515363	0.062362278897573	0.171353969844031
"NAD/NADH phosphorylation and dephosphorylation"	1.08523307756021	0.843931848314332	2.47863153703711	1.33125352404772	1.45348685883408	0.789696280572495	0.218840259411831	0.0245524769609026	0.0764159069515363	0.0481995886466475	0.171253938119161
"sphingolipid biosynthesis (plants)"	1.12550421358685	0.981228272987801	2.43235539469113	1.18567334618633	1.25530700845459	0.761885192370793	0.227949346179759	0.02654042726752	0.0764159069515363	0.0623260798025504	0.17179783398855
"fatty acid &beta;-oxidation II (peroxisome)"	2.63625593348431	2.42832886637875	4.22044141510307	1.28192650033216	1.49423767031262	0.760300258308367	0.23372584023141	0.0266106088212844	0.0764159069515363	0.0635689016865487	0.171301244305419
"unsaturated, even numbered fatty acid &beta;-oxidation"	2.41820036979532	2.1125976913423	3.57016971261656	1.20534711795411	1.27993378844746	0.735284147644187	0.259053544947842	0.0361262517605694	0.0764164168954398	0.0923916906622789	0.173844069728217
"superpathway of acetyl-CoA biosynthesis"	2.0460078062922	1.70790745393653	3.38724049425523	1.25984472973214	1.45254055169253	0.747361658463939	0.237111112606289	0.0319319096330157	0.0764159069515363	0.0741055944055944	0.171574602473612
"tetrapyrrole biosynthesis II (from glycine)"	1.22306252185015	0.911022587093308	2.18912787054201	1.17915990233298	1.16927035186445	0.728849137138834	0.239777779246463	0.0297542079006998	0.0764159069515363	0.0704271081859317	0.171809665859356
"superpathway of L-methionine salvage and degradation"	-0.0192152476935825	-0.0343576655838747	0.108696051939051	0.0204536470484289	1.43176130420321	0.0137778147194843	0.495555555573847	0.628784121989856	0.698743234180167	0.927803085150144	0.954590735613964
"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	-1.15057879901698	-1.35133576889683	-0.270610376246445	0.963975326944335	4.75923500501311	0.153357035819142	0.379777778302877	0.597042262731191	0.674008821577131	0.416470752776635	0.560823744773272
"UDP-N-acetyl-D-galactosamine biosynthesis II"	1.12893448640865	0.814082629159766	2.45969870287277	1.35115455660837	1.43563744828669	0.73425419970916	0.252222223573797	0.0417901633649073	0.0773530512288205	0.0842904566022213	0.17352236750169
"superpathway of glyoxylate cycle and fatty acid degradation"	1.99648549909251	1.70019868463951	3.12330234917416	1.15179287236707	1.29422642160518	0.747131845036557	0.248444445830489	0.0300060537763124	0.0764159069515363	0.0820758124228712	0.172377890423493
"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"	-1.71293637142003	-2.17159194869581	-1.11986290511522	0.84451212026168	5.60132061375656	0.153472915258262	0.300000000979816	0.784590385863516	0.824412969744415	0.168020896750309	0.249513430043728
"GDP-mannose biosynthesis"	1.90703904361711	1.64669339201657	2.68118331917788	1.04557038428232	1.23709299575228	0.674525312357347	0.271050878774363	0.0473402647639239	0.0814068143231425	0.119014150555327	0.190567665094106
"CDP-diacylglycerol biosynthesis I"	1.08395141857366	0.840567583004311	2.14457053389652	1.22694931744558	1.31400724362903	0.672004929604028	0.264666667910704	0.059843640800271	0.0972823684367878	0.108013944878651	0.183524986083761
"TCA cycle II (plants and fungi)"	1.87926354779603	1.59112120214619	2.97238827462875	1.22670141316199	1.26755763039155	0.717981512264425	0.259555556842695	0.0364582627648644	0.0764194325693822	0.0966271081859317	0.175362490376324
"urate biosynthesis/inosine 5'-phosphate degradation"	0.562939043564441	0.56245960035951	0.566929927966952	0.0835283643269569	1.31526026079853	0.0611880204557926	0.458666666837933	0.50866081633556	0.607221169970612	0.806789757301522	0.872943578585011
"allantoin degradation to glyoxylate III"	-3.72266504439025	-3.60248867351449	-6.35525895259608	0.356582259853241	7.49875979337676	0.0425316609122823	0.476666666762898	0.753724879443984	0.798337924896447	0.869159646236117	0.91674361337706
"ubiquinol-9 biosynthesis (eukaryotic)"	-5.93340223138822	-4.83728008021483	-9.19634087873237	-3.83231262349367	4.72360214239943	-0.69285757342322	0.206620752784648	0.0664258531367946	0.116396962778555	0.0448656519950638	0.172428103449249
"ubiquinol-7 biosynthesis (eukaryotic)"	-5.91101036141768	-4.83691451035496	-9.17903648036717	-3.74511454168322	4.83369914172858	-0.698904018144265	0.2070650984799	0.0674052697136184	0.118095501411264	0.0441530234471411	0.17238600452274
"superpathway of heme biosynthesis from glycine"	1.22924094234725	0.922597314227339	2.19734450671216	1.19872464209641	1.18772533014003	0.714314296265463	0.252666668014245	0.0334321601392528	0.0764163552714784	0.0838674619498149	0.173031588540609
"stearate biosynthesis II (bacteria and plants)"	-1.46618308271347	-1.47279776940931	-1.43686721732567	-0.618967876250588	5.40591140608377	-0.123623112641371	0.418666667010469	0.121142057033723	0.172039777855366	0.594801727684081	0.733363383207013
"palmitate biosynthesis I (animals and fungi)"	1.76156524731935	1.24312060455279	1.93817005860657	0.761466397975477	1.44488698126838	0.232365331723535	0.306376361745667	0.732373332946052	0.783345674914254	0.187258988070753	0.275291115123729
"serotonin and melatonin biosynthesis"	-7.20344624142962	-5.71992785701784	-8.26542851741611	-1.28129623405571	5.55345778772008	-0.214454972250929	0.39666666711088	0.519882509014788	0.594390574927745	0.529587659399424	0.646907680377741
"5-aminoimidazole ribonucleotide biosynthesis I"	0.35083594357539	0.0593285616817578	0.721832680925887	1.0192788394662	1.56827329628944	0.630635325756933	0.206666668507307	0.0361839945452038	0.0764899645419026	0.0367002879473468	0.171237951308313
"superpathway of adenosine nucleotides de novo biosynthesis II"	1.71117803080357	1.4285280048658	2.68513407082043	1.14815028904661	1.20730523648298	0.698407245226007	0.268222223437097	0.0424274602625651	0.0775755900804898	0.108388728918141	0.18260426576362
"sucrose degradation III (sucrose invertase)"	-1.02412803453868	-0.667179721134927	-1.19751063695559	-0.598668070627039	5.34521454904147	-0.137044103615627	0.42946012026939	0.102733844428845	0.151624245680807	0.657302097902098	0.769098344927923
"putrescine biosynthesis IV"	1.59885534093657	1.16550030975708	2.54982982674743	1.28621941669636	1.18610579844599	0.856263905736886	0.195067764716493	0.0159213061667014	0.0764159069515363	0.0346529000411353	0.171233734936449
"L-tryptophan degradation X (mammalian, via tryptamine)"	2.92400643080425	2.61121932841314	3.33922177384152	1.09822890324771	1.47457933728132	0.73130294679856	0.170888891278624	0.0213353437494819	0.0764159069515363	0.0175081036610448	0.171118302464185
"L-tryptophan degradation XI (mammalian, via kynurenine)"	-3.2945889584533	-2.98124312590036	-6.3582231937577	-0.304885535997632	6.86648875800257	-0.0436044635242551	0.475555555656391	0.553499642671624	0.630610839056042	0.889324598930481	0.929614226227919
"serotonin degradation"	3.19779055413121	2.83338239924252	3.69364485968581	1.14877797165928	1.5241231172392	0.725391631770048	0.164666669174767	0.0215522363094006	0.0764159069515363	0.0176578774167009	0.171134914660435
"galactose degradation I (Leloir pathway)"	0.278318030725803	-0.116604425735279	0.336896818324009	0.574772709015342	2.09792453828824	0.121887081104071	0.39480115575159	0.504227792282114	0.599494143145305	0.50690156314274	0.660272371310952
"L-phenylalanine degradation IV (mammalian, via side chain)"	2.28912484183412	1.81176121907558	2.94124346992523	1.1311822830696	0.861285042245287	1.28627962746504	0.047555565832351	0.00212217446047061	0.0758000575040705	0.000506046894282188	0.0608569879585655
"noradrenaline and adrenaline degradation"	1.76438043994722	1.44684008309977	2.95043403419169	1.33490030594817	1.35847738218681	0.947465733846231	0.121306380014296	0.00784000338344938	0.0764159069515363	0.0050683257918552	0.135259428387276
"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	2.02684335136145	1.74254446196002	2.98844117728473	1.1584645807986	1.23723860226471	0.724561250587777	0.245945346887508	0.0366190249689037	0.0764353890830065	0.0836015631427396	0.172327950939889
"4-hydroxybenzoate biosynthesis V"	2.53602179995044	2.33559073490727	3.47131166677466	1.14044335031517	1.41189948947984	0.71018809072759	0.211286382585894	0.0279700529568256	0.0764159069515363	0.0447907856849033	0.171234219733862
"stachyose degradation"	1.78315547008434	1.40340750324395	2.93164490871714	1.29425324009554	1.3057905318123	0.745196979210066	0.254387915128556	0.0337805869918594	0.0764159069515363	0.0927793911970383	0.174411304852321
"pyrimidine deoxyribonucleotides de novo biosynthesis III"	1.09108806102704	0.856697384600928	2.38743714169551	1.20905234238076	1.44645701891357	0.690598241576147	0.241501889920415	0.0402678104421616	0.0768416383076308	0.0715767996709173	0.171755286834638
"superpathway of guanosine nucleotides degradation (plants)"	2.03070034663669	1.67600790719496	3.35867867900174	1.20341780995152	1.45572787143581	0.743836586375534	0.233281494535033	0.0308415234550754	0.0764159069515363	0.0655048951048951	0.171410323425566
"guanosine nucleotides degradation II"	2.11393203124713	1.75711438156926	3.43961345653031	1.21603947244028	1.44499556096882	0.786888146878397	0.232392803142328	0.0292789223563856	0.0764159069515363	0.062448292883587	0.171365124570486
"guanosine nucleotides degradation III"	0.639516327155466	0.64149750750959	0.617717839698951	0.0672267132961197	1.37954535665691	0.0482092077847043	0.465333333476683	0.544086163870642	0.635124974431376	0.828616618675442	0.888146685070118
"adenine and adenosine salvage III"	0.265736232263636	0.292140739403515	0.194829138129275	0.0331117738682765	1.44945441103697	0.0177215562796606	0.485669851203184	0.611035913040691	0.685442722533437	0.881582723159194	0.923106808942228
"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	1.24949872088003	0.955354548678427	2.25256596729176	1.14878699548797	1.176504771942	0.702754413566138	0.254387915128556	0.0389202102492573	0.0766043919332846	0.0942334841628959	0.179019128266169
"retinol biosynthesis"	-1.53656030288385	-1.60000037965465	-1.45181731208704	-0.389605898246219	5.44213226812592	-0.0612656826549174	0.456444444625056	0.124023510789317	0.175341114008867	0.804781530234471	0.871701249303598
"seleno-amino acid biosynthesis"	-5.70435799166083	-4.34085698647634	-10.508434289344	-6.04389811288784	3.85831580566848	-1.36453260925187	0.120222225916295	0.00411489692480419	0.0726483009743013	0.00580567667626491	0.134445008619751
"methyl ketone biosynthesis"	1.91013038596373	1.74729426982255	2.93715819248569	1.08390131291722	1.16419295992343	0.781845842041658	0.226000001611517	0.0211238334449191	0.0764159069515363	0.0548443438914027	0.171606643162333
"phosphatidate metabolism, as a signaling molecule"	-2.60468556756059	-2.95932019844878	-1.70440858217961	1.13525678322465	3.32071051842614	0.23455805431732	0.370000000573766	0.76560635634002	0.808978231359893	0.378401974496092	0.517361505526216
"pyruvate fermentation to isobutanol (engineered)"	1.85117624442543	1.52095592617965	2.90838390275945	1.27209603959516	1.21425913039187	0.762970687386919	0.251721840946689	0.0312897623405028	0.0764159069515363	0.0865077334430276	0.172702870105643
"chitin degradation to ethanol"	1.25437051973023	0.970723854798245	1.43356319369814	0.584657127139072	1.05488810867999	0.591627817844072	0.223555557194053	0.0457159811076761	0.0823639545036866	0.0539517482517483	0.17177758055537
"pyrimidine deoxyribonucleotides de novo biosynthesis I"	1.52705923139131	1.26029698022995	2.4203988452265	1.0423948682875	1.24917219848787	0.663309850803362	0.268000001216679	0.0458948738829724	0.0801257592997967	0.106847675853558	0.182930170803262
"superpathway of pyrimidine ribonucleosides salvage"	0.29333908365365	0.291332921939264	0.326326559661212	0.0270011402766848	1.41707173910231	0.0180976463767616	0.494222222246002	0.618498141729007	0.691397815609894	0.932517482517482	0.957503686118899
"pyrimidine deoxyribonucleotide phosphorylation"	1.33791531433765	1.08405778024615	2.25496025534551	1.04688611067162	1.26591420836693	0.650048897639501	0.276000001153278	0.0512556401198321	0.0860049588210954	0.125438338132456	0.199024553883526
"superpathway of pyrimidine nucleobases salvage"	1.43877767065157	1.16882301685756	2.38966147828213	1.13321278834163	1.16211622043196	0.736809836010459	0.227727173331673	0.0306622369673321	0.0764159069515363	0.0579032908268202	0.171324591202951
"superpathway of pyrimidine ribonucleosides degradation"	-1.08050727884477	-1.1218543438851	-1.03192502296394	0.0334612966992025	2.27330646088172	0.00955683033323134	0.489224616796177	0.38729905276735	0.486459212271263	0.921726573426573	0.950356770765705
"pyrimidine deoxyribonucleotides biosynthesis from CTP"	1.08095654162884	0.84145185822996	2.36263753297673	1.20921815039044	1.44310545581994	0.712709215043993	0.244612309797239	0.0419094324305544	0.077389593584203	0.076399670917318	0.172173895827766
"adenosine ribonucleotides de novo biosynthesis"	1.82679782618156	1.5297982413828	2.83837509741595	1.19954297511614	1.26384695613731	0.700622061974819	0.262666667927401	0.0381045067757958	0.0764701718285749	0.0996692307692308	0.177318484400058
"superpathway of guanosine nucleotides de novo biosynthesis I"	1.73673967738859	1.50893263398548	2.73545024398645	1.13364153989161	1.14634606639708	0.730473152493298	0.234836704472417	0.0307353536182709	0.0764159069515363	0.0603808720691074	0.1714506770372
"superpathway of adenosine nucleotides de novo biosynthesis I"	1.72471500557317	1.43606856384752	2.74967465486435	1.17802020270657	1.21021986361083	0.718830961206435	0.263274829071118	0.0394192308580275	0.076616281673775	0.103762690250926	0.179460476838204
"superpathway of ubiquinol-6 biosynthesis (eukaryotic)"	-5.04092197328555	-4.16400065272428	-9.20913177488658	-4.59090906372559	5.23466790297055	-0.768396139581005	0.192179517702181	0.0486788250792294	0.100907847229311	0.0319419169066228	0.169906752855961
"NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)"	-1.82866499062898	-1.47640219383189	-2.07817408923802	-0.645291765397361	5.00490476473689	-0.149659937639367	0.427904910322848	0.122955594125673	0.174129500792293	0.658233648704237	0.769215456865603
"NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)"	-1.3325618873518	-0.986645598650988	-1.60725110556488	-0.646754250383774	5.46859743418474	-0.138933024857467	0.433459231560581	0.121669277884384	0.172722263181476	0.667974660633484	0.774978909616729
"aerobic respiration II (cytochrome c) (yeast)"	3.23806900879031	2.99889901201588	4.39118343031324	1.2236245141613	1.41256786115867	0.636209603217142	0.288158188131573	0.0702546274427154	0.110572605996334	0.148069025092555	0.222312653882729
"4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)"	1.3966469970729	1.06968094655672	2.48974366900044	1.21126437821211	1.31013751858787	0.785559854225362	0.23288889042711	0.0251328647073551	0.0764159069515363	0.068145536816125	0.171553217462723
"fatty acid &beta;-oxidation (peroxisome, yeast)"	2.22406219312548	2.12030601565386	3.04974357930763	0.863144570520904	1.19211596052724	0.677109982197701	0.243057099858743	0.0339434312467192	0.0764168697644592	0.0765555327025915	0.174553553429823
"1,3-propanediol biosynthesis (engineered)"	0.996176448295331	0.666556310526637	2.24415376178041	1.31419253519767	1.37851826873348	0.802622601075251	0.226222223831312	0.0237413472538838	0.0764159069515363	0.0584370629370629	0.171308948973544
"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	0.93381607583067	0.846474735563402	1.07025705666621	0.339335233925689	0.978989212977244	0.152782805459195	0.307111112043682	0.532059936834008	0.62540233186315	0.182805429864253	0.268788257206639
"phospholipid remodeling (phosphatidylethanolamine, yeast)"	-0.637007632471533	-0.729444909745255	0.337152192046321	1.11691185508467	1.7921496031884	0.428401043520324	0.296666667669231	0.754613588429753	0.799594370260909	0.164280748663102	0.243819390348433
"superpathway of phosphatidate biosynthesis (yeast)"	1.30345092123663	0.962806580085239	2.38034537206397	1.27887760037198	1.24855861914261	0.722798046959626	0.254666667996409	0.0403992327939488	0.0768805101384194	0.0899131221719457	0.173692082921617
"monoacylglycerol metabolism (yeast)"	-2.23459184901424	-1.92223296691712	-2.52082308211549	-0.628519652483796	4.77262766798495	-0.137728795142063	0.434570095808154	0.154058246786868	0.209405042471635	0.674484080625257	0.780115477486844
"mevalonate pathway I"	1.22485424387365	0.965612742664464	2.26078776629751	1.20635067502325	1.192269913546	0.73321632339437	0.252888890234474	0.0360682741703238	0.0764275161533018	0.0925657754010695	0.174861616459993
"CDP-diacylglycerol biosynthesis II"	1.08054451823929	0.838671436672809	2.14608139052181	1.22146356468652	1.31716781700578	0.670884392032224	0.268222223437097	0.0600439095682402	0.0976423282904554	0.108464952694364	0.183217646062407
"leucopelargonidin and leucocyanidin biosynthesis"	-10.0787811991929	-7.30520096469951	-10.7929636346204	-2.74273645948271	6.03515771688891	-0.410927772136718	0.337777778523899	0.349405595621302	0.416647322233026	0.316214315096668	0.430038284560564
"L-ascorbate biosynthesis IV"	-1.88941302819788	-1.52367435454828	-2.08027947025477	-0.639341812431224	4.85339167730607	-0.142288163028985	0.42346145333283	0.117352045022772	0.167921253245346	0.628867050596462	0.748753081925982
"stearate biosynthesis III (fungi)"	-0.84146145104686	-0.374095691709162	-1.61933535923949	-1.12874873197649	5.69675421318493	-0.159335472675731	0.425016663279318	0.136853839484534	0.189513266997116	0.649795886466475	0.772699020171067
"superpathway of phosphatidylcholine biosynthesis"	-9.66615235855463	-7.76383787350942	-10.3222689361844	-1.44411542390264	7.2786404229557	-0.181455750149268	0.43111111140009	0.636264990341064	0.695936078738273	0.647112176059235	0.743477938160179
"phosphatidylglycerol biosynthesis I (plastidic)"	-1.95445204621947	-1.5662418902093	-2.20998008570416	-0.679596125728713	4.99367705924524	-0.185389785469119	0.411908465159567	0.109929359556253	0.159567290908537	0.565549238996298	0.702021856250363
"phosphatidylglycerol biosynthesis II (non-plastidic)"	-1.96068073233282	-1.56355554622569	-2.19374230213192	-0.685341064028052	4.86667549169477	-0.161581564387239	0.409908909514319	0.109994323114873	0.159609756655502	0.562416783216783	0.699971557411857
"nicotine degradation IV"	4.6336934626369	4.43911054884573	5.84378164715043	1.38054415293709	1.45840549194812	0.769495115074036	0.21928460510765	0.0243262317358473	0.0764159069515363	0.043433813245578	0.171237847667015
"C20 prostanoid biosynthesis"	-3.9367222467153	-4.11284661998477	-3.74571820523368	0.351764458369819	2.88070760710387	0.084678951847888	0.452444444641933	0.638756270835866	0.705134934224242	0.751088029617441	0.836943012189145
"leukotriene biosynthesis"	1.62408413369677	1.19544582496839	2.83939634670694	1.18675904174651	1.40439412471132	0.753927993434308	0.256222223538258	0.0353203964309729	0.0764189426850443	0.0900197449609214	0.174489103462874
"fatty acid &alpha;-oxidation III"	-3.10731569785297	-3.13427210774534	-2.91781733377127	-0.365643942258848	3.23568006263704	-0.0704800662770197	0.469229060335897	0.309791658183649	0.396442674505918	0.84615684903332	0.904530257563385
"phytol degradation"	4.16771180769775	3.77379986578458	5.3250713499043	1.22993748361615	1.36782113249365	0.799717942112437	0.227555557150175	0.0207281535258165	0.0764159069515363	0.0564747429041547	0.171250754224775
"fatty acid &beta;-oxidation VI (peroxisome)"	2.45178826582587	2.24830369013443	3.56747264578028	1.13109087099639	1.23273554605497	0.784732438954548	0.23172628459784	0.0229678608677655	0.0764159069515363	0.0668793089263677	0.172580394321282
"TCA cycle III (animals)"	1.99568025196729	1.70443912720069	3.13859011702727	1.24447829625959	1.29526508224132	0.735501083924705	0.262386137676663	0.0382036597245387	0.0764594386191182	0.102131303990128	0.178595816987474
"superpathway of purine nucleotide salvage"	0.591994697853104	0.535109090999491	0.918868971843144	0.105098929776033	1.27355611619656	0.0797588350638356	0.473005998778325	0.496620546556668	0.597759614290047	0.874531345125463	0.920062773356296
"D-galactose degradation V (Leloir pathway)"	1.35897452678923	1.0354299305448	2.43473058892834	1.23108012388298	1.26436868209938	0.79110678670658	0.227555557150175	0.024115842644058	0.0764159069515363	0.0600511312217195	0.171297903342584
"dopamine degradation"	1.76365466548654	1.36582069553077	2.83134081972483	1.29715303716575	1.34649744741187	0.944853811215766	0.119528997274684	0.00800946851243046	0.0764159069515363	0.00498190045248869	0.134960354267754
"superpathway of L-serine and glycine biosynthesis I"	1.68039500387787	1.38473358060566	2.81084951091701	1.25544985643163	1.2732153503857	0.733469584603931	0.254165742280051	0.03462864316317	0.0764164094589831	0.0905070752776635	0.173653280132313
"sulfate reduction I (assimilatory)"	-0.426075686208848	-0.664909920452278	0.148385763187678	0.86233621670008	1.09506681979566	0.445247154270652	0.262444445707047	0.810930148427511	0.845177406351564	0.0983816125051419	0.182272685791263
"sucrose biosynthesis I (from photosynthesis)"	-1.63906507566781	-1.64866917978246	-1.58088578935475	-0.495644186988347	5.10690601790358	-0.094274573207798	0.44056876274519	0.0964503592083265	0.144244601036113	0.713731797614151	0.811259559641659
"superpathway of L-threonine biosynthesis"	1.31712007226025	1.04049906491466	2.38176611007395	1.21237747718415	1.22466190692805	0.744180038816386	0.254666667996409	0.0357758153055191	0.0764210502158889	0.093089921842863	0.175087902284868
"tRNA charging"	1.79443778924385	1.51744804496552	2.81812676869315	1.23009722518759	1.24130123097865	0.726829492310521	0.264385693314246	0.0377965838707482	0.0764448937708403	0.0992787330316742	0.176743638870923
"L-tyrosine degradation I"	-0.221808377694927	-0.435825286508954	0.295209128668967	0.84802111553499	1.23576587538918	0.672632603732958	0.227727173331673	0.033792885415143	0.0778543158914706	0.0547007404360346	0.172356740811708
"UDP-N-acetyl-D-glucosamine biosynthesis II"	1.26718242616924	0.987539827290651	2.3571382709406	1.23689604459923	1.26031245701384	0.708846389148424	0.274605644353993	0.042199040034124	0.0775150797379302	0.115573179761415	0.188673507003879
"L-valine biosynthesis"	1.70896487481305	1.37265251193285	2.7841164923471	1.2691024706251	1.23786659099682	0.768670327446708	0.246834038281087	0.0284289518452146	0.0764159069515363	0.0767222130810366	0.171655222073884
