"rab.all"	"rab.win.bs"	"rab.win.ri"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"aerobic respiration I (cytochrome c)"	3.23295278804823	4.4004566832027	2.99890083307564	-1.21721204693515	1.40906188330162	-0.646760543771001	0.288888889946136	0.0703536626338464	0.110725335432558	0.149128342245989	0.223650967386597
"L-glutamate degradation IV"	-0.701842755241768	-0.534237429414179	-0.808736766315259	-0.712432412182348	2.34422897236773	-0.145372174845563	0.386000000494861	0.647505457726169	0.714941058022316	0.439850802139037	0.583754225814234
"phytate degradation I"	-1.29721361212418	-1.92736526779887	-0.939334978391015	0.850095932694937	5.44543665749624	0.156217639224456	0.430666666957583	0.153424927422686	0.208397675435739	0.679413574660633	0.78374410648388
"L-proline biosynthesis II (from arginine)"	1.56971278713094	2.78852822580108	1.2240804807709	-1.19962618912889	1.34920811848876	-0.763221938271117	0.251944013795161	0.0304904185118727	0.0766376675964467	0.0840069518716578	0.173692688514681
"urea cycle"	1.40973031623013	2.67213808247754	1.12303236747686	-1.19443334931605	1.3718464444087	-0.719151480604285	0.257333334639666	0.036886528093635	0.0766593605857058	0.0964545454545455	0.177191692977174
"glycogen biosynthesis II (from UDP-D-Glucose)"	1.6417031467786	2.83831546023559	1.28000375421701	-1.22461691849559	1.36715269628499	-0.764319121454672	0.234614531624208	0.0281110585942592	0.0766376675964467	0.0632710407239819	0.172813562542324
"NAD/NADH phosphorylation and dephosphorylation"	1.08581923184927	2.48496114528787	0.84423577159393	-1.31524878745277	1.46401120329206	-0.787945046578372	0.218444446141113	0.0246581835421271	0.0766376675964467	0.0485843685726039	0.172654009471805
"sphingolipid biosynthesis (plants)"	1.12376133200571	2.44282372839639	0.982452887657082	-1.17697577638847	1.28243365319862	-0.767679553587906	0.227111112710537	0.0265949964854958	0.0766376675964467	0.0612402714932127	0.173030189148234
"fatty acid &beta;-oxidation II (peroxisome)"	2.63415728789584	4.22654201981202	2.42652398246352	-1.29703444894562	1.49039096111606	-0.787484073043732	0.237111112606289	0.0267061926437164	0.0766376675964467	0.0632276840806253	0.172713367663086
"unsaturated, even numbered fatty acid &beta;-oxidation"	2.40657959893933	3.57976426116846	2.11194314593124	-1.214671915486	1.2933606835322	-0.733199116602543	0.261555556825659	0.0362848505532071	0.0766389053868964	0.0937848621966269	0.175371870963091
"superpathway of acetyl-CoA biosynthesis"	2.04321844367373	3.3952666939573	1.70700782607066	-1.25111780852702	1.44087969395372	-0.766118381021831	0.241333334786803	0.0321264034138602	0.0766376675964467	0.0750506375976964	0.172990773552366
"tetrapyrrole biosynthesis II (from glycine)"	1.21966131219276	2.20194455293435	0.911794570263013	-1.17183065387916	1.16784911852479	-0.736531123824574	0.232392803142328	0.0298933319404359	0.0766376675964467	0.0709546688605512	0.17293861113364
"superpathway of L-methionine salvage and degradation"	-0.0151288537000571	0.0957620088182525	-0.0340456918198027	-0.0274653580052537	1.42788592200823	-0.0186985353413639	0.49200000003293	0.627329993861226	0.696661715099494	0.930739489921843	0.956036828995603
"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"	-1.15292922543341	-0.285163217653498	-1.3509657891634	-0.953755746863377	4.82331932372776	-0.151531976729297	0.375249945003998	0.588250136631985	0.666468976444163	0.418029781982723	0.562667466044908
"UDP-N-acetyl-D-galactosamine biosynthesis II"	1.12692792582681	2.46906830150403	0.815790513824509	-1.34337625509944	1.45403959142058	-0.709843622178875	0.252832705189081	0.0417478164746072	0.0775317700849028	0.0856772521596051	0.175084439808379
"superpathway of glyoxylate cycle and fatty acid degradation"	1.98677042462823	3.13605109699817	1.69955874861134	-1.15934922954162	1.29622378359226	-0.758202893546427	0.250666668032326	0.0301160053765864	0.0766376675964467	0.0829538050185109	0.1737907239507
"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"	-1.71401505280017	-1.12123866834884	-2.17375442510134	-0.85728328716024	5.46069845685132	-0.160713461706431	0.298222223214121	0.778760054867533	0.818961273092656	0.165351254627725	0.246487428583609
"GDP-mannose biosynthesis"	1.89386525007649	2.68706041987594	1.64589870311064	-1.06110306604978	1.2115124109672	-0.682252890720027	0.27444444560981	0.0475542925991088	0.0817735978867494	0.119823817359111	0.191976678805617
"CDP-diacylglycerol biosynthesis I"	1.07034312651371	2.15831676223116	0.839296595723156	-1.23308751165277	1.32142550237747	-0.669312313922376	0.270666667861865	0.0597980113770928	0.0972930864962898	0.107377745783628	0.183612170781974
"TCA cycle II (plants and fungi)"	1.86461267162353	2.97648210524092	1.59081496901718	-1.233327784964	1.26751541414032	-0.716737689235804	0.256000001317985	0.0367306917528015	0.076649833052898	0.0978825174825175	0.176782813787631
"urate biosynthesis/inosine 5'-phosphate degradation"	0.562985064546831	0.569483877612741	0.562167602843007	-0.0710460411786724	1.31895568656519	-0.0528256426155615	0.462222222378579	0.510125412916197	0.607903266805031	0.812839901275195	0.877445052564196
"allantoin degradation to glyoxylate III"	-3.73397071878788	-6.30108004967601	-3.60018189276485	-0.36832073718693	7.35655723057994	-0.0438416674103237	0.472000000115589	0.754549873426951	0.798737013963589	0.875119868366927	0.920264089770063
"ubiquinol-9 biosynthesis (eukaryotic)"	-5.90850483497271	-9.19959756472191	-4.82851512188119	3.79130305183556	4.8013089830732	0.678863153745509	0.201732950138401	0.0691698871356058	0.121066434619947	0.0438375154257507	0.17401290431219
"ubiquinol-7 biosynthesis (eukaryotic)"	-5.92535933077791	-9.19974452396131	-4.8392943994402	3.88734569923738	4.88741804267207	0.696488899239754	0.210888890676227	0.0707122395267087	0.121516362178981	0.0442746194981489	0.174497244495848
"superpathway of heme biosynthesis from glycine"	1.22230929210268	2.20459530804821	0.921502233347586	-1.185699206173	1.19366659985332	-0.733049388082823	0.249777779151554	0.0334814846089823	0.0766376675964467	0.0843291649526944	0.174521770555622
"stearate biosynthesis II (bacteria and plants)"	-1.46405424784006	-1.40982070150902	-1.47197600963158	0.617029551004801	5.29016568940165	0.13794291725838	0.416351922149142	0.121395900482942	0.172529697364396	0.593788111888112	0.73342659488676
"palmitate biosynthesis I (animals and fungi)"	1.7581539364237	1.94284030988332	1.2419062930023	-0.755184087511156	1.4986567075594	-0.233615670651318	0.304222223173781	0.732622127415104	0.782501490434698	0.188139736733854	0.276183504612814
"serotonin and melatonin biosynthesis"	-7.250195877774	-8.41897494264231	-5.70725754381297	1.37496915447645	5.62374220946307	0.217006742553755	0.393912464353863	0.500175874083398	0.575692802222006	0.511406211435623	0.631103725350724
"5-aminoimidazole ribonucleotide biosynthesis I"	0.351006120130372	0.719331684815441	0.0587289989645288	-1.03703311218406	1.56068590046799	-0.64216619414676	0.195555557546575	0.0361286298577101	0.0766902433433371	0.0360596462361168	0.172598413121612
"superpathway of adenosine nucleotides de novo biosynthesis II"	1.70468795321269	2.6973961939484	1.42809356113066	-1.15881803888729	1.19348912168584	-0.712019271592667	0.26705176749802	0.042539345812962	0.0778596324904535	0.109456355409297	0.184193897876262
"sucrose degradation III (sucrose invertase)"	-1.02355537352927	-1.1988292656868	-0.660948644531565	0.602881722929434	5.43741326518965	0.122360021317653	0.429904465968406	0.102272453968878	0.15116492260645	0.657931550802139	0.768444748912116
"putrescine biosynthesis IV"	1.59745652003812	2.55100144749865	1.16523306607541	-1.29064001337309	1.20426290656641	-0.856049353486951	0.200000001929012	0.0159911249688948	0.0766376675964467	0.0345020156314274	0.172576676661387
"L-tryptophan degradation X (mammalian, via tryptamine)"	2.92533698210388	3.34588526668405	2.60872979135365	-1.0944271653419	1.49260770588731	-0.729442266301783	0.16685181317321	0.0213447561181827	0.0766376675964467	0.0175380913204443	0.172524181730399
"L-tryptophan degradation XI (mammalian, via kynurenine)"	-3.17490600436638	-6.27439621194799	-2.98351074749869	0.254953808514518	6.95664231252845	0.0393354473043584	0.480337702813731	0.555259220257106	0.632745927035963	0.889006705059646	0.929199518055545
"serotonin degradation"	3.19864639835783	3.70586476384391	2.83529661595381	-1.136153580428	1.55058498941461	-0.731741464653787	0.166222224699939	0.0215615034058043	0.0766376675964467	0.0175930892636775	0.172524181730399
"galactose degradation I (Leloir pathway)"	0.27731735706086	0.340060856571966	-0.118937455515971	-0.534305334222181	2.12400839918935	-0.118093823378976	0.400133304138147	0.504421609780069	0.599703976156987	0.506208350473056	0.659794907425032
"L-phenylalanine degradation IV (mammalian, via side chain)"	2.28856494407375	2.95005772496377	1.81274682326548	-1.13377524163772	0.879240691471656	-1.26310142439266	0.0477671730769118	0.00213788495809998	0.0761430868269884	0.000520649938296997	0.0628350719868367
"noradrenaline and adrenaline degradation"	1.76126942349278	2.96288508833773	1.44572233808327	-1.32036303154746	1.34092553158804	-0.967249132657349	0.118195960221216	0.00788002828447341	0.0766376675964467	0.00515713698066639	0.137513288042368
"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	2.01869876121627	2.99598011317885	1.73955664616293	-1.1625298018549	1.24603482511842	-0.735989956963476	0.24777777917	0.0366164733168799	0.0766414424829215	0.0832981077745784	0.173551326943439
"4-hydroxybenzoate biosynthesis V"	2.53685362361167	3.48120067773405	2.33587639305	-1.13835693409584	1.41313194771057	-0.719010742624505	0.214444446188389	0.0280216256308742	0.0766376675964467	0.0449841217605923	0.172582527112147
"stachyose degradation"	1.77035880105803	2.93811230013679	1.40195445475778	-1.22975359362832	1.27415570503028	-0.735188755072064	0.257053989310851	0.0338671763429979	0.0766379237594883	0.0927461949814891	0.175645481423777
"pyrimidine deoxyribonucleotides de novo biosynthesis III"	1.08178529464068	2.38779062024863	0.857882728630828	-1.22976224111388	1.4424888841518	-0.705812200654891	0.241946235617063	0.0402351708450101	0.0770142210095309	0.0724709584533114	0.173268108487972
"superpathway of guanosine nucleotides degradation (plants)"	2.02055900237841	3.37235210810363	1.67588010503362	-1.22180052777132	1.45595705215556	-0.773669243266408	0.234836704472417	0.0309647547876543	0.0766376675964467	0.0654973262032086	0.172781907678461
"guanosine nucleotides degradation II"	2.10501113941276	3.45016126812989	1.75467984829087	-1.23062959951356	1.44821977206907	-0.761057532722063	0.233948013079604	0.0295394495112596	0.0766376675964467	0.0636594816947758	0.172776463005715
"guanosine nucleotides degradation III"	0.640437406624797	0.628163597379727	0.641994834189564	-0.067510299756385	1.38763271346042	-0.0493126252730177	0.466666666804453	0.543150396321484	0.634657156908046	0.827584286301933	0.886012579179014
"adenine and adenosine salvage III"	0.267246523240883	0.203154051518371	0.292705347088736	-0.038197563062881	1.45066223919776	-0.0252849174065932	0.483003777008451	0.609136385664873	0.683692158716853	0.877204895104895	0.919984479633579
"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	1.24672893955257	2.26388616649825	0.955742211958643	-1.13288115748576	1.19504211025882	-0.693139986754988	0.255111112436923	0.0391433522314096	0.0768366242488508	0.0947932538050185	0.180381055604168
"retinol biosynthesis"	-1.53292317493338	-1.46523883110425	-1.59737874222373	0.367160496102629	5.53736048811026	0.0575281396564752	0.455777777961197	0.124331962065711	0.175555885194835	0.805977416700946	0.872873751913741
"seleno-amino acid biosynthesis"	-5.69497524501545	-10.4591048785177	-4.34482727157259	6.00464358349142	3.96889207788817	1.32614317417195	0.120888892558922	0.00447362969378723	0.0734648223301914	0.00595261209378856	0.13741769530487
"methyl ketone biosynthesis"	1.90489619873683	2.94484787531665	1.74880750414102	-1.06381632134564	1.17750801356822	-0.785700093397811	0.222000001655945	0.0211899815802354	0.0766376675964467	0.053613821472645	0.172920547486901
"phosphatidate metabolism, as a signaling molecule"	-2.60550568586828	-1.7041349619707	-2.96291835275611	-1.1202128006307	3.64877217518689	-0.23768195729606	0.369111111689376	0.749665573862816	0.796064178266365	0.378115343480049	0.517000386007619
"pyruvate fermentation to isobutanol (engineered)"	1.83517991396443	2.91986859139392	1.52074441878925	-1.27967608410766	1.2460960089699	-0.764130999510819	0.249555556931368	0.0315289166337662	0.0766376675964467	0.0876522830111065	0.174244608399284
"chitin degradation to ethanol"	1.25527713052639	1.42669901072419	0.973917259717337	-0.594872125026057	1.04146754085238	-0.587832915696659	0.217777779482216	0.0457266676186977	0.0824589204464052	0.0528265734265734	0.172940128873237
"pyrimidine deoxyribonucleotides de novo biosynthesis I"	1.52636367061449	2.42524103097827	1.25950284932701	-1.04896716951302	1.24776326295943	-0.678159246701713	0.265777779012632	0.0461927072417689	0.0805052197008383	0.107862320032908	0.184623909538718
"superpathway of pyrimidine ribonucleosides salvage"	0.292840069325617	0.332059887305308	0.290836163835679	-0.0231997223659062	1.40086431088997	-0.0130685877455381	0.492112863840494	0.616941934061171	0.689482967791433	0.930774413821473	0.955749416266786
"pyrimidine deoxyribonucleotide phosphorylation"	1.33770454658075	2.25628342938733	1.08414572321326	-1.03731347705548	1.25721830174993	-0.670183965834728	0.277555556696859	0.051324918662837	0.0861106998923865	0.126837844508433	0.200889079544196
"superpathway of pyrimidine nucleobases salvage"	1.43710920738088	2.40730959362196	1.16815354818438	-1.10603134000598	1.17939189087525	-0.728407415994503	0.227333334930354	0.0308842059246884	0.0766376675964467	0.0578329082682024	0.172767575494448
"superpathway of pyrimidine ribonucleosides degradation"	-1.08088592784209	-1.03350991776364	-1.1201607756729	-0.0463786685376597	2.30902888920772	-0.0125367736305906	0.486000000057659	0.387669001922611	0.486735830548675	0.923711024269848	0.951289135471476
"pyrimidine deoxyribonucleotides biosynthesis from CTP"	1.07005701291743	2.37643458473653	0.843248032196385	-1.22050305667912	1.45734138735869	-0.712713183102832	0.245723174039122	0.0419736461352191	0.0776489555728043	0.0766166186754422	0.173637896279991
"adenosine ribonucleotides de novo biosynthesis"	1.81484395602507	2.8462567753153	1.5309364889466	-1.19678641615977	1.24763509658447	-0.717595682767852	0.262608310525273	0.0381221667209808	0.0767009896821294	0.0998471410941999	0.178042138812732
"superpathway of guanosine nucleotides de novo biosynthesis I"	1.73311617952681	2.75280304027817	1.5092939853078	-1.12532686328729	1.14947546436582	-0.723446275607045	0.231111112667873	0.0308926335679346	0.0766376675964467	0.0611922254216372	0.172961959281596
"superpathway of adenosine nucleotides de novo biosynthesis I"	1.71169474442007	2.75233866684479	1.43613287861194	-1.18292942876419	1.2467979284324	-0.724766995469187	0.265718730406087	0.0396687168167221	0.0768436040374123	0.103230604689428	0.179904508629569
"superpathway of ubiquinol-6 biosynthesis (eukaryotic)"	-5.04678240359789	-9.17043571956667	-4.15355991368339	4.61830562987544	5.15128916873248	0.781843675156719	0.191777779823603	0.0502881268718908	0.102617676856742	0.0313763060468943	0.171843105643907
"NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)"	-1.84087343117354	-2.05099894371819	-1.47831899633335	0.677443890751136	4.89874706276466	0.161091861189664	0.425777778090102	0.122690292984589	0.174006962941068	0.659142616207322	0.768922713851428
"NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)"	-1.32590352093922	-1.61651885954964	-0.989634448423426	0.650042610004465	5.32360377470037	0.142414259065116	0.432666666948876	0.121178375718642	0.172302726801855	0.666906252570958	0.773388325334261
"aerobic respiration II (cytochrome c) (yeast)"	3.23824481073092	4.40063557117609	2.99903244827864	-1.23720179500549	1.40984419537953	-0.635168296170334	0.292379472260578	0.0703281993209936	0.110728559682061	0.149772686137392	0.224404749119467
"4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)"	1.3900240205542	2.51076226097158	1.06834856839989	-1.18613145159779	1.28550142276053	-0.776344412953049	0.238391470044275	0.0252806232115663	0.0766376675964467	0.0708175236528178	0.17296976697528
"fatty acid &beta;-oxidation (peroxisome, yeast)"	2.22197406338898	3.05976851849141	2.1218989286561	-0.886783378600353	1.1602793318118	-0.695958848617463	0.239724507133964	0.0341074356844832	0.076640910599516	0.0757178938708351	0.175878225879471
"1,3-propanediol biosynthesis (engineered)"	0.995815750793414	2.25900540624919	0.667513443043038	-1.3041115252313	1.36725439577795	-0.806154537108681	0.230837593205245	0.0237671427651755	0.0766376675964467	0.0592671740024681	0.172734237021443
"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	0.936140501064884	1.06583143216123	0.846681401862542	-0.33629190497844	0.976483828987165	-0.155036085402896	0.30333333429079	0.532584376660271	0.625048600685559	0.182893870835047	0.269063368160725
"phospholipid remodeling (phosphatidylethanolamine, yeast)"	-0.636566080358667	0.338140036826593	-0.729683527432714	-1.12659453537623	1.79342385964115	-0.419043939575043	0.298378139181907	0.758226728241141	0.801864322749551	0.163622089675031	0.242933649575282
"superpathway of phosphatidate biosynthesis (yeast)"	1.28900117236116	2.39410621827267	0.960777825179447	-1.28105701862384	1.25273672797977	-0.744364627128424	0.25683181646231	0.0406201145535792	0.0771056426968918	0.0901036610448375	0.175247568924456
"monoacylglycerol metabolism (yeast)"	-2.24560096210998	-2.52125050559127	-1.92775333379456	0.643375796859072	4.72366514028851	0.145662305133057	0.430348811667423	0.15401136756378	0.209473124662414	0.672918428630193	0.777792922332434
"mevalonate pathway I"	1.2159943857872	2.26877884002614	0.964078153899492	-1.20718989699076	1.24643529123995	-0.704908723028115	0.255333334657184	0.03621566982676	0.0766590957151811	0.0926088440970794	0.175668654872564
"CDP-diacylglycerol biosynthesis II"	1.07192644805031	2.15241856167111	0.838952567934279	-1.22337316090798	1.34299240150451	-0.67058332777214	0.264830039011516	0.0599545572790229	0.0975332024217617	0.107129576306047	0.183526174580209
"leucopelargonidin and leucocyanidin biosynthesis"	-10.0391200211769	-10.7430043798326	-7.292261799587	2.78797713135198	6.1810568934404	0.402002662517382	0.340888889617445	0.363780859628382	0.429290450306806	0.32534635952283	0.438360440831293
"L-ascorbate biosynthesis IV"	-1.87627144531993	-2.05527753397171	-1.52126828002661	0.636782150779009	4.81627436524081	0.154325758690799	0.423239280483333	0.118439125232069	0.169254969031261	0.629888317564788	0.749166582836722
"stearate biosynthesis III (fungi)"	-0.837958203343017	-1.59672260985388	-0.374315393109652	1.09362471820784	5.61375637166289	0.169603330835139	0.42946012026939	0.136734045232704	0.189425141022775	0.651373755656109	0.772471853223932
"superpathway of phosphatidylcholine biosynthesis"	-9.63091091929201	-10.3090380821392	-7.73495927218645	1.52389514603111	7.27861216187488	0.197066750355671	0.427555555860073	0.634551955509228	0.694411059898648	0.645029576306047	0.740485498383083
"phosphatidylglycerol biosynthesis I (plastidic)"	-1.95547190508954	-2.17748369868792	-1.56751267945181	0.672809896724321	4.89608627390037	0.166765612472037	0.412222222594935	0.11028119900593	0.159943809139349	0.565261250514192	0.701711303328259
"phosphatidylglycerol biosynthesis II (non-plastidic)"	-1.96864685753998	-2.20915185582548	-1.56680533258089	0.680441297456518	4.76290443144013	0.166237278846949	0.409464563815381	0.109613967271156	0.159226417362086	0.56122192513369	0.699281857160726
"nicotine degradation IV"	4.63804969023124	5.8556046257508	4.43941175189394	-1.35270680832657	1.48138759422413	-0.767959947546509	0.212175073976877	0.0243620585972083	0.0766376675964467	0.0439092554504319	0.172603186159705
"C20 prostanoid biosynthesis"	-3.95018079830264	-3.74778028062558	-4.11667647201751	-0.37243953155239	2.90335990696301	-0.0855722435824114	0.445900911133854	0.642009609549884	0.707640519749645	0.757990826820239	0.842452462551688
"leukotriene biosynthesis"	1.61703187623419	2.84141249129347	1.19749762379062	-1.21230071886242	1.41399892610244	-0.760962331996415	0.256165297916706	0.0354775462947149	0.0766436262143851	0.0911805018510901	0.175850130945174
"fatty acid &alpha;-oxidation III"	-3.11245168642599	-2.94881938738056	-3.1377194549421	0.372745868887467	3.2349746325314	0.0781636995426955	0.467333333468341	0.313156936117438	0.400437633180257	0.840706705059646	0.900569397990693
"phytol degradation"	4.16276322701381	5.33295012513244	3.7728817147249	-1.22480805886776	1.33187264752421	-0.818430051807655	0.222839370674876	0.0208435104439508	0.0766376675964467	0.0574941587823941	0.172610892468049
"fatty acid &beta;-oxidation VI (peroxisome)"	2.44628150289409	3.57955782608822	2.25017700003586	-1.13139752332838	1.23241260531959	-0.801780061654194	0.232222223767366	0.0230929249296751	0.0766376675964467	0.066720649938297	0.173776016026097
"TCA cycle III (animals)"	1.9907497184931	3.15112618559736	1.70343616411299	-1.2299230031851	1.30659316911221	-0.723481424018707	0.269111112318797	0.0383465371924883	0.0766860687009074	0.102357548334019	0.179352722617911
"superpathway of purine nucleotide salvage"	0.591398864118612	0.914661123389727	0.539973905817853	-0.112498181543425	1.26535016123984	-0.0786505368944775	0.470222222345201	0.494217814279749	0.595307504248119	0.876163266145619	0.920415032718966
"D-galactose degradation V (Leloir pathway)"	1.3513147103015	2.43662727887398	1.03539730062102	-1.24771827488687	1.23772407195055	-0.783499109804164	0.228838037572142	0.0242279436275121	0.0766376675964467	0.060162607980255	0.172663641019562
"dopamine degradation"	1.76083848030522	2.84116006620751	1.36526813291169	-1.29307305151795	1.31328828383709	-0.940770062208651	0.115307713275874	0.00810722796331457	0.0766376675964467	0.00505808309337721	0.137008631432248
"superpathway of L-serine and glycine biosynthesis I"	1.67243570374102	2.82471373965632	1.38403625915051	-1.26878137764556	1.28529925661833	-0.755859781549798	0.255276606522607	0.0345261126042007	0.0766376675964467	0.0906832990538873	0.174715288803306
"sulfate reduction I (assimilatory)"	-0.443266805550123	0.138804923664144	-0.663349867303954	-0.859313105129001	1.1174442298926	-0.434074503951143	0.261497446282251	0.804490948662762	0.839194183688292	0.0994908679555738	0.184533062178544
"sucrose biosynthesis I (from photosynthesis)"	-1.64219116550668	-1.59607846797616	-1.64876009392645	0.506306471639763	5.15751982381409	0.0875214682083937	0.443777778012108	0.0966721978429589	0.144419813413811	0.710862607980255	0.809529143102629
"superpathway of L-threonine biosynthesis"	1.30994129504533	2.39246788667366	1.04088271033077	-1.22684703878283	1.23195216523165	-0.751283067672999	0.256222223538258	0.0359349935211681	0.0766432693024675	0.0923912793089264	0.175771689189658
"tRNA charging"	1.78326977056103	2.82512063269035	1.51716152515655	-1.22113253075149	1.2511125254557	-0.732403844817515	0.259942236342134	0.0378051089937116	0.0766656135669975	0.099344385026738	0.17751008342749
"L-tyrosine degradation I"	-0.215256798083042	0.298700661772317	-0.435716881903475	-0.843924885963593	1.26411978721094	-0.671000178446575	0.225333334952156	0.0336428204899298	0.0780500593675776	0.0542666392431098	0.173835836260859
"UDP-N-acetyl-D-glucosamine biosynthesis II"	1.25903781661799	2.36303022307856	0.988077997841599	-1.2091543209693	1.24162267298649	-0.690288267694814	0.271495224471783	0.0423433449475784	0.077786243335573	0.117119374742904	0.190134989599385
