"rab.all"	"rab.win.bs"	"rab.win.ro"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"galactose degradation I (Leloir pathway)"	0.883288366801853	0.342786152436391	1.07217030772911	0.698205444225096	2.43888698506987	0.203927081456577	0.312888889784287	0.173715415284123	0.823539941670765	0.197369395310572	0.753549622316169
"L-phenylalanine degradation IV (mammalian, via side chain)"	2.7188286444966	2.93867921796701	2.37914821753648	-0.24691294296426	1.79346889337722	-0.138650876560482	0.416351922149142	0.816779565948565	0.938673512850617	0.603592513368984	0.828991082617809
"noradrenaline and adrenaline degradation"	1.59388661842065	2.96324124671968	0.969003391704161	-1.57984524232314	1.56285233717982	-1.09054684542235	0.0802222280751808	0.00494328148963733	0.106955075561576	0.00166816125051419	0.0321465165716636
"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	2.93936553545013	2.98559549778105	2.9104791218826	0.506396987865273	2.0545348833581	0.271081851824212	0.384359031828932	0.504928101796733	0.858928476409344	0.436608679555738	0.760641363592067
"4-hydroxybenzoate biosynthesis V"	2.63268720445865	3.4743026097084	2.49629896949191	-0.802325228452879	1.68471233813293	-0.461494365274114	0.287111112181188	0.122361835001971	0.746444480167534	0.140860674619498	0.698026915821622
"stachyose degradation"	2.49913774384982	2.92797928270952	2.41003127919137	0.134651075090253	1.78685490896068	0.069537122840236	0.479777777861133	0.936366086895561	0.971961603520984	0.917927848621966	0.9691029101121
"pyrimidine deoxyribonucleotides de novo biosynthesis III"	1.30973807459386	2.38788299135959	1.26361758978265	-0.570765678044139	1.75760983921532	-0.316486745256956	0.398444444880351	0.364527933523887	0.83232275877737	0.494889058000823	0.786612981165426
"superpathway of guanosine nucleotides degradation (plants)"	2.74665702443149	3.36925000977999	2.57920651115018	0.354697968750252	2.17589931053142	0.181651732876593	0.425111111426368	0.767328478305448	0.929050894269057	0.640063595228301	0.831373641298427
"guanosine nucleotides degradation II"	2.79884560958675	3.44419585415503	2.62031450480739	0.344048688948749	2.15039596549201	0.17345415675664	0.42800000030257	0.794781001498002	0.931285678830593	0.650619251336898	0.83568615995039
"guanosine nucleotides degradation III"	1.82012402099082	0.623898978905107	2.41102263609119	1.61489554931231	2.26089224946905	0.855211623368676	0.162666669214647	0.0113194122579599	0.151784509061547	0.0147627725215961	0.155911952055816
"adenine and adenosine salvage III"	1.48381663093919	0.199351367455082	2.23173437693724	1.75200065506532	2.30072992997265	0.906351067687728	0.155076652340485	0.00831800410046991	0.141151505059072	0.0122352118469766	0.14549070908417
"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	2.27126974524481	2.25630973972538	2.27815976676273	0.765016725390525	2.21131255254658	0.358770806776047	0.363333333941159	0.294210759363084	0.823949780090383	0.347302139037433	0.753616582343986
"retinol biosynthesis"	-2.58282922716517	-1.45682625098599	-2.79566727865467	-0.967166354474213	7.72845199631975	-0.131092037960232	0.377027327799012	0.772587372159303	0.92990447829056	0.423473508844097	0.773524842450222
"seleno-amino acid biosynthesis"	-10.5955373825999	-10.5568372754362	-10.6516057439396	-0.271019456882337	6.19393466237423	-0.039452790743384	0.480666666746347	0.600662160458166	0.886236195166066	0.645312710818593	0.85467362594344
"methyl ketone biosynthesis"	2.20709319495749	2.94088629534857	2.13544964728617	-0.625912423258579	1.45092292683835	-0.378419870236508	0.356365252810155	0.268967521314835	0.825149599933113	0.331434512546277	0.756189227685515
"phosphatidate metabolism, as a signaling molecule"	-2.1437260678489	-1.70713004052152	-3.28091469219516	-0.647669284795668	6.93738192099797	-0.0944805529600266	0.448444444658887	0.684802507863124	0.907808923057552	0.757337967914438	0.893647987125462
"pyruvate fermentation to isobutanol (engineered)"	2.83441233343283	2.90891002977099	2.7920355010535	0.555098737587445	2.04276888720611	0.28651282548335	0.388135970268879	0.503416499189062	0.858733085118743	0.468764417935006	0.767081524275312
"chitin degradation to ethanol"	1.38825292529219	1.42855953757022	1.33812970726593	-0.144055841282347	1.14830520535612	-0.11827193943582	0.42311111143519	0.551352901734049	0.891814341281091	0.632830810366104	0.844173593647608
"pyrimidine deoxyribonucleotides de novo biosynthesis I"	2.56756030271446	2.42532427291452	2.63262366911377	0.872110231139014	2.22993100515197	0.412398098808044	0.347922684537358	0.234116617057771	0.823949780090383	0.305406540518305	0.753568125289132
"superpathway of pyrimidine ribonucleosides salvage"	0.914984908372199	0.330536289910657	1.8390332780864	1.65656139481817	2.42780496076908	0.720062980257995	0.182444446634754	0.0262339343531791	0.233516877235996	0.0228909090909091	0.196359615981242
"pyrimidine deoxyribonucleotide phosphorylation"	2.3306992035506	2.24845346877556	2.36966241182789	0.873609546936285	2.29782592801116	0.397354911263741	0.347256165989566	0.236397519920343	0.823949780090383	0.311776840806253	0.753568125289132
"superpathway of pyrimidine nucleobases salvage"	2.45656111032484	2.39153046011459	2.48931797646611	0.730065795728074	2.18339776168828	0.36289453918498	0.35903132700185	0.293146312891817	0.823949780090383	0.333433936651584	0.753568125289132
"superpathway of pyrimidine ribonucleosides degradation"	-0.592183571410227	-1.02743587647597	-0.049881919266987	0.927282116392659	3.81751736887429	0.176585561343656	0.328815819504599	0.448211828180641	0.852086731986911	0.246967585355821	0.752964558589973
"pyrimidine deoxyribonucleotides biosynthesis from CTP"	1.35424678023919	2.36556447126878	1.31705495213661	-0.569010414690666	1.77988025251481	-0.306971471477755	0.406131971073406	0.407759900590352	0.839947248202783	0.549059193747429	0.803416490621426
"adenosine ribonucleotides de novo biosynthesis"	2.85993858146447	2.83296247346048	2.87181194417615	0.733766866045384	2.17004871175359	0.354493433756114	0.357253944207372	0.329953986444008	0.823949780090383	0.346873796791444	0.753588422808696
"superpathway of guanosine nucleotides de novo biosynthesis I"	2.59003113531828	2.73694911691855	2.50492427812746	0.533176781607192	2.11926012276366	0.263833326100751	0.378444444976095	0.464001269694041	0.855443170944735	0.433947470176882	0.760822827655812
"superpathway of adenosine nucleotides de novo biosynthesis I"	2.79425062556481	2.74816758245809	2.81782506702919	0.727233440282699	2.2005164832404	0.356049381310855	0.360808709796386	0.313587008810581	0.823949780090383	0.339245536816125	0.753568125289132
"superpathway of ubiquinol-6 biosynthesis (eukaryotic)"	-8.64981870494137	-9.21043510865023	-7.2612740804993	1.62398330177839	7.43803548019878	0.215599698249311	0.383248167581926	0.533369239799109	0.874599566624814	0.488533607568902	0.802430071456623
"NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)"	-1.92296758866906	-2.06065465985562	-1.88642677788268	-0.141194154662112	7.791572060508	-0.0208994454159023	0.46933333346001	0.735235027022803	0.921699131988581	0.809304771698889	0.917567337257731
"NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)"	-1.46150771100465	-1.60587495187229	-1.43245255617711	-0.210934619996872	8.2094885550157	-0.029547156473356	0.457555555731491	0.740376905753739	0.92307395502937	0.774189222542164	0.900263560867295
"aerobic respiration II (cytochrome c) (yeast)"	4.43298732080554	4.39059131107446	4.45680495520142	0.832311581350816	2.27590096177789	0.377445991344083	0.361333333951525	0.284820313120931	0.823949780090383	0.343072398190045	0.753584645064463
"4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)"	2.03623573603344	2.49958146169425	1.81270835615626	-0.119544473804092	1.60385552780801	-0.0740625496322053	0.474888888992488	0.722660615364554	0.927613498409415	0.880468202385849	0.953176462811418
"fatty acid &beta;-oxidation (peroxisome, yeast)"	3.18454802937979	3.05172637758086	3.22414980551789	0.762533565669671	2.15697193786436	0.36599595265311	0.344812264647745	0.24735709312333	0.823949780090383	0.282077498971617	0.753589583110912
"1,3-propanediol biosynthesis (engineered)"	1.11196271682135	2.24797800480819	1.00485055693742	-0.492835249573752	1.68234460525021	-0.392630479208747	0.372666667227013	0.243638293171781	0.824009451290864	0.414831962155492	0.765622946521548
"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	1.13415678863903	1.07137983632394	1.17460606640253	-0.0192541693505834	2.62441865044342	-0.00388504298858207	0.494000000024695	0.821515771451938	0.942021114979749	0.91538613739202	0.965817496139599
"phospholipid remodeling (phosphatidylethanolamine, yeast)"	-0.79104661220366	0.338681283282556	-1.33801340038284	-1.58508620543856	3.89770978721034	-0.343065001126463	0.264888890131085	0.259872194518897	0.820872399057184	0.113357342657343	0.660845870809489
"superpathway of phosphatidate biosynthesis (yeast)"	2.10958455510091	2.38725349204267	1.93931301622889	0.208339817392395	1.91370911366387	0.106543850661075	0.457777777952779	0.852700321908879	0.944645632313886	0.776628383381324	0.901198910550651
"monoacylglycerol metabolism (yeast)"	-2.39492306724862	-2.5258414223493	-2.37366648737169	-0.262706227113581	7.3191183593262	-0.037604261456743	0.456666666846343	0.741466089216227	0.922631677712182	0.772450637597696	0.901832111508273
"mevalonate pathway I"	2.24871286463607	2.26613115536865	2.23924525757891	0.691445353975031	2.1976917571329	0.337498839875869	0.357698289905986	0.352830534248864	0.823992446365244	0.351282352941176	0.753643730700578
"CDP-diacylglycerol biosynthesis II"	2.16655427430536	2.14768984012716	2.17668838644132	0.723441310578933	2.25712793638362	0.331218226697231	0.371695179414115	0.358936167744008	0.824001959836753	0.391669025092554	0.755616536288515
"leucopelargonidin and leucocyanidin biosynthesis"	-11.0987446275543	-10.7382595868151	-11.5691054429892	-0.540833286988645	5.4032301380602	-0.0880014866664806	0.456888889067629	0.550881608260569	0.866892526219632	0.588356807897984	0.827570391878043
"L-ascorbate biosynthesis IV"	-1.98616247325376	-2.05963464695818	-1.96865142226187	-0.202869701182996	7.5823329565519	-0.0279893117089267	0.468000000132229	0.730487088189566	0.920294508972432	0.8134885643768	0.920264980149873
"stearate biosynthesis III (fungi)"	-0.949900750071793	-1.62567250394034	-0.88497205148433	-0.357983395624884	8.68897094736593	-0.0391612374080799	0.461230837752084	0.752452238535614	0.925682018342278	0.800066762649116	0.912530298868211
"superpathway of phosphatidylcholine biosynthesis"	-7.9086127387657	-10.2968467809966	-4.79097547071882	4.81006506903629	6.28850037616863	0.671922898636466	0.238666668146327	0.0993140261722337	0.478219235607348	0.0879170300287947	0.451798683877288
"phosphatidylglycerol biosynthesis I (plastidic)"	-2.04555176754168	-2.20434805097676	-2.01016073416846	-0.121479770631929	7.54801552264964	-0.0144116707280219	0.48233725845977	0.735267955913503	0.921810849108152	0.844982270670506	0.93354971996148
"phosphatidylglycerol biosynthesis II (non-plastidic)"	-2.04642580902041	-2.20489193456527	-2.00539201729467	-0.134245351234386	7.55957745739241	-0.0184728815944521	0.480115529964171	0.729573360414805	0.920466491849224	0.843798889345948	0.932471382177181
"nicotine degradation IV"	4.8566317359472	5.85256410098305	4.73798034548308	-0.660319292898694	1.69579921190708	-0.361583028225332	0.333555556325875	0.214773837077135	0.822834214463529	0.26398292883587	0.753960422334874
"C20 prostanoid biosynthesis"	-4.01541608181962	-3.744969643231	-4.31830396839727	-0.972299370050313	4.9542440796714	-0.181570199968384	0.367918240975086	0.500075560976856	0.865687212878043	0.386550802139037	0.76866553888949
"leukotriene biosynthesis"	2.52361635930158	2.83524993473864	2.45664845724939	0.358189008654169	2.1465553964492	0.188827987740637	0.42311111143519	0.615966705467159	0.897201681391199	0.611603496503496	0.820232654889832
"fatty acid &alpha;-oxidation III"	-3.357025066819	-2.94455699785648	-3.54372845561096	-0.816571708425934	5.30913229682115	-0.130813355291811	0.416888889240628	0.73680966636308	0.921152097021637	0.606567667626491	0.827577493114578
"phytol degradation"	4.62390671172676	5.3275651281692	4.55753351501841	0.026424422826667	1.75486916143056	0.0142615162382317	0.492444444475544	0.751119215719289	0.930255008874926	0.947916083916084	0.980230778552828
"fatty acid &beta;-oxidation VI (peroxisome)"	3.22445131244704	3.57280859784101	3.08733206658273	-0.178248428957427	1.59969804648884	-0.10128145373696	0.46078649205299	0.759458310846984	0.930840293709259	0.812306417112299	0.924290448536817
"TCA cycle III (animals)"	3.01206402479312	3.14211141223182	2.92127271008906	0.522059749120337	2.15902841858973	0.265618665401952	0.388135970268879	0.500215878903294	0.858780335604593	0.467210859728507	0.766431951951171
"superpathway of purine nucleotide salvage"	1.30248928698632	0.91513468421313	1.8820352735954	1.48784016148117	2.19708762599419	0.689944397117463	0.194666668670403	0.0310255060676323	0.243845143628154	0.0288204442616207	0.227083571051947
"D-galactose degradation V (Leloir pathway)"	2.02195861371714	2.43647380661315	1.87314901895895	-0.0884098923647203	1.68067816156731	-0.0521134503554596	0.488000000049411	0.779745546983196	0.933327189479198	0.959823899629782	0.982705726624034
"dopamine degradation"	1.58746947326055	2.84035305488256	0.840698910741491	-1.68379347376795	1.53065975917499	-1.15346751373435	0.0762052939044813	0.0030634253334812	0.0969732146170454	0.00140917317976141	0.0300346804665922
"superpathway of L-serine and glycine biosynthesis I"	2.64273511866065	2.81498942015307	2.51945491879946	0.563650999366193	2.16407523446227	0.284233333376205	0.386666667158319	0.498200961104158	0.858640143282347	0.445615878239408	0.761648360594615
"sulfate reduction I (assimilatory)"	0.246810728703075	0.148862346600874	0.348523168177067	0.0532334371434993	2.33956318435503	0.0131218363955617	0.49033548104399	0.8139817237776	0.940620020421915	0.934804113533525	0.974012170867982
"sucrose biosynthesis I (from photosynthesis)"	-3.87854547526713	-1.5908120540852	-4.35241276766425	-1.73922091042568	7.02163637270792	-0.220243426357263	0.395555556004978	0.68936950653636	0.90930613310207	0.473296297819827	0.784636423064827
"superpathway of L-threonine biosynthesis"	2.36784583425201	2.38087457791344	2.35998594847286	0.657610446484558	2.17069496989383	0.328876605185052	0.366807376728357	0.375728496218392	0.82475413579837	0.37075935828877	0.753928273081867
"tRNA charging"	2.76651204577313	2.82013676616182	2.73276334454182	0.69483217687002	2.25822005349876	0.339154774746014	0.367473895276392	0.364944242716227	0.82406585285065	0.368646318387495	0.753801460511228
"L-tyrosine degradation I"	0.241890053924205	0.293550309877867	0.180940122030688	-0.315912292567252	1.62140731179486	-0.179705253945192	0.420351033439913	0.614609206883376	0.906013033355916	0.586505800082271	0.820651270486024
"UDP-N-acetyl-D-glucosamine biosynthesis II"	2.28763841510165	2.35457225083413	2.24387025846601	0.708594417955236	2.22888581163905	0.336574314760515	0.368362586673783	0.361545369768895	0.824024280933743	0.382968408062526	0.754478058127557
"L-valine biosynthesis"	2.67727866997542	2.78680242005736	2.61724040856765	0.51156387519579	2.06585890752014	0.258661357364137	0.393245945805575	0.527723872544204	0.860854099731509	0.486049814890991	0.77195240263125
