#OTU ID	1.2RO	1.8RO	2.10RO	2.14RO	2.3RO	2.7RO	3.14RO	3.7RO	4.12RO	4.16RO	4.1RO	5.14RO	5.8RO	6.13RO	7.1RO	7.23RO	7.9RO	1.8RI	2.10RI	2.11RI	2.13RI	2.14RI	2.3RI	3.10RI	3.13RI	3.14RI	3.4RI	4.12RI	4.1RI	5.14RI	5.8RI	6.13RI	7.1RI	7.9RI	1.2NR	1.8NR	2.10NR	2.11NR	2.15RI	2.3NR	2.7NR	3.10NR	3.16RI	3.4NR	3.7NR	4.12NR	4.16RI	4.1NR	5.8NR	6.16RI	7.1NR	7.9NR	2.14NR	2.15NR	2.15RO	2.16NR	2.16RO	3.14NR	3.16NR	3.16RO	4.16NR	4.18NR	5.14NR	6.16NR	7.23NR	taxonomy
GLUCOSE1PMETAB-PWY	149	0	0	0	134	0	114	39	0	252	103	26	81	449	0	0	8	22	26	48	125	237	989	35	196	482	781	302	43	47	149	57	146	81	0	0	0	88	0	109	0	0	0	140	12	0	0	0	176	0	0	7	0	43	0	0	0	90	0	0	0	0	0	0	0	glucose and glucose-1-phosphate degradation
GLUDEG-I-PWY	205	0	0	20	203	24	1004	74	0	22	114	20	202	435	0	0	15	78	0	51	282	302	1593	164	348	800	376	538	73	103	259	65	261	137	0	0	0	155	0	192	0	0	0	182	0	0	0	333	195	0	138	8	0	81	0	0	8	153	0	0	0	0	0	0	0	GABA shunt
GLYOXYLATE-BYPASS	658	1522	1570	3454	871	1673	3263	1189	393	3358	7736	2443	2048	16753	1062	693	1563	2398	2360	1570	1536	6417	6302	2128	1425	2575	8003	2171	7259	2320	2183	1991	1933	801	124	122	324	345	161	609	178	118	304	458	672	96	203	2211	508	178	1747	123	449	295	429	231	484	526	201	320	181	339	135	133	163	glyoxylate cycle
HEME-BIOSYNTHESIS-II	374	1140	992	2754	555	1383	1763	739	306	2134	4648	1456	1170	9651	663	578	1265	1786	1233	733	742	3253	3896	1091	778	1284	4943	1120	4947	1137	1355	943	1201	435	55	52	150	168	90	311	79	49	206	246	326	45	119	1337	260	95	1099	55	264	152	347	104	396	308	97	248	77	163	56	55	68	heme biosynthesis I (aerobic)
HSERMETANA-PWY	218	1109	801	2770	438	1428	413	584	306	1445	3483	973	628	667	533	599	1293	1764	465	224	260	1377	2925	560	467	374	3238	548	4494	300	1140	229	1006	260	11	6	22	10	69	135	18	0	193	134	95	19	94	969	91	61	868	8	186	84	357	29	410	237	27	253	6	26	0	0	0	L-methionine biosynthesis III
LEU-DEG2-PWY	461	347	591	260	497	61	1889	552	42	1106	3808	968	896	1305	491	43	169	149	950	201	452	2390	3373	521	478	1427	2553	862	2546	948	441	536	443	256	0	0	108	188	0	336	0	0	0	296	249	0	0	929	359	0	681	18	141	98	30	0	0	202	0	0	0	38	0	0	0	L-leucine degradation I
LIPASYN-PWY	322	0	0	0	318	0	352	82	0	0	120	0	170	557	0	0	0	0	0	0	330	531	2560	0	404	1084	402	706	11	0	277	0	288	150	0	0	0	200	0	288	0	0	0	302	0	0	0	0	374	0	0	0	0	95	0	0	0	194	0	0	0	0	0	0	0	phospholipases
NONOXIPENT-PWY	554	1254	1355	2734	756	1318	2480	888	315	2652	5676	2114	1615	10801	783	548	1232	1938	2067	1310	1317	5361	5498	1796	1198	2237	6435	1878	5545	1958	1818	1684	1597	670	104	102	286	313	133	528	148	98	245	407	582	80	163	1873	448	145	1398	103	381	252	341	192	389	450	166	258	151	282	113	111	136	pentose phosphate pathway (non-oxidative branch)
P185-PWY	381	1109	1066	2550	576	1239	1884	745	292	2164	4815	1642	1186	9219	672	520	1147	1670	1326	836	857	3666	4012	1225	811	1436	5025	1236	4837	1302	1362	1083	1202	460	64	62	176	185	95	343	92	59	199	248	377	51	121	1391	266	101	1134	65	257	162	315	120	358	308	104	229	92	172	68	66	81	formaldehyde assimilation III (dihydroxyacetone cycle)
P221-PWY	23	74	167	88	10	98	129	12	10	73	0	147	382	382	0	0	82	510	1004	1012	795	2361	721	979	687	791	1020	934	219	840	770	1038	662	413	89	89	143	156	86	162	127	88	93	130	246	65	90	303	117	95	163	86	122	143	17	163	63	182	241	49	134	387	101	99	121	octane oxidation
PANTO-PWY	473	1183	1091	2791	654	1387	1908	786	315	2268	4911	1669	1235	9853	687	578	1275	1893	1427	972	996	4000	4662	1364	1003	1767	5487	1504	5139	1397	1588	1222	1408	541	75	73	195	260	110	430	108	69	227	358	411	60	139	1451	390	117	1180	76	292	210	352	141	405	400	120	260	108	198	80	78	96	phosphopantothenate biosynthesis I
PENTOSE-P-PWY	357	1105	1052	2559	552	1263	1855	749	290	2161	4834	1585	1218	9390	677	526	1168	1724	1419	880	862	3745	4027	1263	816	1368	5047	1211	4913	1348	1415	1129	1232	471	68	66	183	168	100	323	98	63	207	224	388	54	127	1442	219	106	1137	68	283	162	321	128	366	309	116	235	98	194	72	71	87	pentose phosphate pathway
PWY-1042	371	1046	983	2493	550	1228	1688	680	279	2171	4315	1540	1193	10160	603	506	1124	1607	1175	720	770	3276	3964	1080	764	1372	5028	1141	4463	1149	1279	943	1129	420	54	52	152	183	83	337	77	49	189	256	345	44	113	1289	277	90	1051	56	239	154	305	101	351	304	90	219	76	149	56	55	68	glycolysis IV (plant cytosol)
PWY-2723	138	0	0	0	118	0	115	38	0	245	102	25	81	449	0	0	8	22	26	49	129	239	875	36	200	488	764	308	43	47	148	57	144	83	0	0	0	91	0	109	0	0	0	126	12	0	0	0	148	0	0	8	0	45	0	0	0	87	0	0	0	0	0	0	0	trehalose degradation V
PWY-3781	1243	4696	4091	11460	2029	5768	6959	3094	1272	8761	20043	5931	4834	40731	2853	2401	5270	7437	4947	3225	3042	13585	14134	4650	2916	4611	19951	4233	20989	4871	5511	3993	4838	1730	254	245	631	548	395	1107	366	233	876	708	1333	207	516	5435	650	419	4485	243	1050	578	1448	479	1653	1127	437	1040	363	709	268	263	322	aerobic respiration I (cytochrome c)
PWY-4041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	&gamma;-glutamyl cycle
PWY-4321	233	0	0	26	232	0	1204	104	0	0	169	29	277	640	0	0	11	112	0	75	381	439	1765	234	443	968	541	689	108	150	352	95	349	184	0	0	0	177	0	228	0	0	0	205	0	0	0	432	228	0	191	11	0	102	0	0	0	182	0	0	0	0	0	0	0	L-glutamate degradation IV
PWY-4702	364	0	0	0	295	0	232	80	0	405	185	39	168	796	0	0	12	33	39	75	255	421	2248	54	436	1092	1379	671	64	72	299	88	302	168	0	0	0	224	0	260	0	0	0	364	18	0	0	0	437	0	0	12	0	100	0	0	0	208	0	0	0	0	0	0	0	phytate degradation I
PWY-4981	382	1046	953	2440	544	1226	1722	726	275	2013	4647	1419	1113	8516	648	507	1130	1814	1469	1051	1014	4160	3811	1426	970	1599	5088	1448	4844	1455	1576	1303	1382	546	82	80	205	225	117	378	118	76	229	293	423	65	146	1365	311	124	1108	82	305	199	318	154	370	366	129	246	118	213	87	86	105	L-proline biosynthesis II (from arginine)
PWY-4984	348	1035	948	2464	513	1230	1668	710	277	2072	4566	1425	1110	9330	638	506	1132	1710	1321	959	915	3771	3582	1294	863	1420	4990	1287	4719	1328	1425	1179	1254	491	75	73	184	196	106	334	108	70	211	250	382	60	133	1276	264	114	1047	76	270	176	313	141	360	322	118	233	109	192	81	79	97	urea cycle
PWY-5067	415	1062	966	2437	572	1224	1937	765	260	2102	5117	1355	1274	8547	714	516	1142	1884	1538	1116	1044	4314	3977	1505	1005	1683	5281	1485	5123	1523	1605	1346	1405	577	85	82	210	219	121	430	122	78	245	315	455	68	158	1447	312	129	1181	85	328	216	323	159	378	397	134	251	122	221	90	89	108	glycogen biosynthesis II (from UDP-D-Glucose)
PWY-5083	304	288	616	418	346	65	1911	462	41	1630	3397	1173	1043	10924	430	34	121	442	1281	869	828	3291	2522	1108	674	1376	3921	1091	2225	1288	782	1093	697	383	72	72	193	187	71	314	103	71	87	195	367	52	85	988	214	87	639	69	204	145	35	131	33	214	114	42	108	197	81	80	98	NAD/NADH phosphorylation and dephosphorylation
PWY-5129	375	1147	931	2851	542	1441	1099	616	311	2051	3632	1295	1137	10082	535	599	1312	1881	1040	827	812	3005	3873	1091	877	1373	4972	1244	4610	1015	1450	950	1303	476	64	62	134	203	100	334	93	59	221	292	275	52	130	1035	314	106	929	65	241	177	360	121	419	347	117	263	92	187	68	66	81	sphingolipid biosynthesis (plants)
PWY-5136	1023	2978	2459	6907	1489	3406	4093	1951	757	5185	12374	3133	2620	16161	1765	1409	3184	4967	2810	2702	2365	8574	10671	2992	2179	3708	12310	3185	13805	3199	3928	3037	3458	1212	219	218	434	562	251	815	313	212	596	776	788	162	331	3289	810	262	2747	226	689	453	879	402	1008	922	319	660	325	519	244	240	294	fatty acid &beta;-oxidation II (peroxisome)
PWY-5138	713	1999	1973	4548	1051	2275	3871	1454	531	4020	9388	2984	2398	17040	1299	925	2110	3393	2790	1882	1825	7494	7516	2608	1733	2905	9733	2582	9451	2718	2909	2349	2516	1008	140	135	362	359	205	712	201	129	423	506	763	112	267	2658	551	218	2167	150	548	352	583	262	675	660	247	447	200	408	148	145	178	unsaturated, even numbered fatty acid &beta;-oxidation
PWY-5173	460	1502	1429	3471	726	1723	2267	927	398	2661	5859	2249	1418	11348	830	714	1570	2507	2012	1561	1482	5850	5139	2082	1314	2088	6561	2000	6326	1991	2100	1896	1838	745	125	122	302	299	166	539	179	118	321	369	636	97	208	1823	384	176	1570	124	395	281	440	233	511	498	184	337	182	295	135	133	163	superpathway of acetyl-CoA biosynthesis
PWY-5189	381	1013	900	2418	541	1214	1650	689	270	2048	4316	1340	1085	8684	601	505	1118	1597	1191	740	763	3224	3793	1049	778	1364	4831	1161	4481	1119	1292	952	1150	435	54	52	149	186	83	324	77	49	184	256	325	44	108	1226	279	88	998	58	250	157	305	101	348	309	90	219	76	153	56	55	68	tetrapyrrole biosynthesis II (from glycine)
PWY-5328	189	972	708	2407	378	1234	387	518	259	1277	3264	860	569	613	493	520	1124	1542	434	196	228	1243	2506	488	401	348	2867	480	4097	284	971	208	856	229	9	5	21	10	59	122	14	0	170	114	88	16	83	877	79	53	764	7	168	73	313	24	357	200	25	220	5	25	0	0	0	superpathway of L-methionine salvage and degradation
PWY-5464	0	0	250	237	0	438	278	256	145	274	141	275	971	143	0	0	248	595	0	206	206	547	1430	441	143	256	872	167	210	15	276	240	320	102	0	0	0	0	0	266	0	0	93	141	170	0	62	387	182	0	565	0	83	81	0	0	49	167	0	0	0	0	0	0	0	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
PWY-5514	258	287	455	329	302	120	1630	470	17	1440	3214	695	900	1395	429	56	182	888	1207	839	786	3305	2158	1146	718	1133	3722	1066	2564	1182	1126	1041	950	414	67	65	167	143	93	260	96	62	142	170	333	53	110	1059	166	101	724	65	232	143	64	125	88	247	107	94	96	176	71	70	86	UDP-N-acetyl-D-galactosamine biosynthesis II
PWY-561	602	598	960	1076	770	465	2561	1124	91	3145	7362	1352	1800	13647	1006	181	681	2020	2006	1368	1338	5586	5367	1890	1336	2263	7671	1968	6526	1960	2169	1684	1905	755	104	100	250	297	156	532	150	94	296	419	541	85	198	1918	450	166	1344	106	416	271	210	196	235	508	176	236	148	289	108	106	130	superpathway of glyoxylate cycle and fatty acid degradation
PWY-5651	172	0	0	0	143	0	583	48	0	0	72	0	100	417	0	0	0	15	173	0	119	175	1171	0	237	556	238	331	14	37	188	1	159	99	0	0	0	103	0	139	0	0	0	157	0	0	0	15	187	0	64	0	0	53	0	0	0	108	43	0	0	72	0	0	0	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-5659	590	1498	1373	3431	821	1742	2592	1180	379	3110	7880	1852	1906	11596	1086	732	1631	2425	2069	1134	1157	5414	5522	1733	1211	2087	7396	1777	7495	1952	2041	1529	1808	702	78	72	247	252	144	474	113	65	295	365	531	69	182	2007	363	151	1579	79	433	242	450	151	507	469	135	330	105	239	75	74	90	GDP-mannose biosynthesis
PWY-5667	251	1024	930	2432	468	1216	1112	618	272	1863	4188	1404	932	8323	583	498	1109	1589	1139	699	696	3081	3364	1033	621	1061	4215	968	4414	1105	1154	912	1019	377	54	52	149	120	83	279	77	49	186	169	324	44	110	1182	145	88	996	52	236	130	305	101	350	256	90	219	76	149	56	55	68	CDP-diacylglycerol biosynthesis I
PWY-5690	545	1626	1457	3875	803	1944	2599	1093	433	3082	6998	2146	1722	13500	986	812	1785	2575	1879	1220	1200	5152	5599	1734	1183	2007	7217	1745	7258	1819	2029	1537	1788	670	94	91	244	262	142	477	135	86	304	364	520	76	182	1971	386	150	1608	94	393	238	491	176	560	459	155	356	134	257	99	97	119	TCA cycle II (plants and fungi)
PWY-5695	379	1167	945	2843	545	1438	1063	739	307	2081	5081	1218	1170	8613	697	592	1323	1764	984	226	301	2173	3846	542	561	1075	4708	746	5282	838	1163	389	1074	330	8	4	64	117	61	236	13	0	193	232	182	15	94	1217	237	62	965	6	245	104	363	21	410	270	55	252	4	104	0	0	0	urate biosynthesis/inosine 5'-phosphate degradation
PWY-5705	111	0	0	0	84	0	84	26	0	0	39	0	55	138	0	0	0	0	0	0	66	69	685	0	126	323	129	192	9	0	80	0	87	42	0	0	0	68	0	81	0	0	0	108	0	0	0	0	139	0	0	0	0	31	0	0	0	64	0	0	0	0	0	0	0	allantoin degradation to glyoxylate III
PWY-5871	0	0	0	0	0	0	104	29	0	0	49	0	75	168	0	0	0	0	24	0	15	65	382	0	53	57	181	19	10	0	45	1	79	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ubiquinol-9 biosynthesis (eukaryotic)
PWY-5873	0	0	0	0	0	0	104	29	0	0	49	0	75	168	0	0	0	0	24	0	15	65	382	0	53	57	181	19	10	0	45	1	79	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ubiquinol-7 biosynthesis (eukaryotic)
PWY-5920	378	1073	944	2575	548	1293	1704	713	287	2090	4476	1395	1126	9136	630	539	1187	1686	1212	737	752	3238	3841	1070	774	1321	4886	1140	4702	1128	1323	948	1175	433	54	52	149	177	87	317	78	49	194	251	325	44	113	1279	269	91	1046	57	257	155	325	102	370	309	93	233	77	158	56	55	68	superpathway of heme biosynthesis from glycine
PWY-5989	323	0	0	0	281	0	320	93	0	0	147	0	191	452	0	0	18	49	0	109	313	545	2186	80	462	1031	519	713	62	105	373	127	358	203	0	0	0	171	0	243	0	0	0	238	0	0	0	0	213	0	0	17	0	99	0	0	0	204	0	0	0	0	0	0	0	stearate biosynthesis II (bacteria and plants)
PWY-5994	2065	231	514	171	1724	47	2133	888	33	1157	4246	886	1495	3125	412	0	111	83	842	153	1452	3045	13369	385	2354	6160	4739	3736	2245	744	1719	418	1813	904	0	0	97	1184	0	1506	0	0	0	1876	227	0	0	713	2350	0	450	14	121	571	23	0	0	1165	0	0	0	31	0	0	0	palmitate biosynthesis I (animals and fungi)
PWY-6030	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	20	43	286	31	0	28	0	0	0	18	61	8	5	0	0	0	0	0	0	0	0	0	0	0	15	0	0	144	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	serotonin and melatonin biosynthesis
PWY-6121	27	16	0	0	12	11	78	14	0	8	0	2	0	0	0	0	11	452	604	637	550	1908	616	726	473	621	917	713	266	668	652	727	544	265	52	51	106	115	63	145	74	49	87	115	192	40	72	161	107	68	202	51	113	105	21	96	43	159	74	53	76	116	56	55	68	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6126	501	1645	1418	3991	771	2008	2296	1049	441	3032	6678	2058	1582	12267	951	839	1836	2600	1679	1042	1042	4566	5321	1554	1076	1743	6997	1554	7165	1571	1917	1317	1706	611	77	73	205	218	130	433	111	68	301	329	458	65	173	1881	346	136	1551	79	371	214	504	146	573	432	132	361	108	216	78	77	94	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-621	305	0	0	0	279	0	308	105	0	593	297	69	216	1233	0	0	22	62	75	138	326	656	2003	102	468	1068	1821	719	125	135	382	161	369	204	0	0	0	189	0	240	0	0	0	274	34	0	0	0	328	0	0	20	0	104	0	0	0	201	0	0	0	0	0	0	0	sucrose degradation III (sucrose invertase)
PWY-6305	455	715	1025	839	585	188	2376	771	116	1963	5199	1582	1425	8724	702	105	348	904	1535	903	1017	4113	4142	1301	970	1958	4782	1538	4283	1501	1313	1202	1174	533	70	68	199	291	92	450	100	65	137	334	422	54	114	1574	360	97	1131	70	279	206	93	129	68	362	124	82	101	212	75	74	90	putrescine biosynthesis IV
PWY-6307	596	322	610	434	591	155	2052	502	89	1679	3277	1185	1065	11364	407	27	190	1882	3437	3802	3580	11024	5011	4310	2892	4416	5459	4528	2874	3743	3489	4451	2815	1606	315	312	667	834	345	982	450	304	386	837	1180	235	371	1733	900	380	902	315	601	674	93	578	161	940	491	209	466	794	350	343	421	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6309	182	0	0	0	134	0	112	40	0	0	58	0	84	208	0	0	0	0	13	0	102	123	1104	0	200	520	196	304	6	0	124	0	136	66	0	0	0	112	0	130	0	0	0	182	0	0	0	0	236	0	0	0	0	50	0	0	0	104	0	0	0	0	0	0	0	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-6313	723	334	572	180	731	101	1601	597	35	1135	4026	1001	835	1476	451	18	159	2318	4104	4928	4153	13012	6125	5043	3363	5173	6805	5260	3656	4450	4111	5317	3338	1873	427	427	781	954	413	1154	608	420	462	965	1388	309	436	2133	1031	456	1137	418	719	776	121	777	207	1094	602	260	639	954	483	474	581	serotonin degradation
PWY-6317	345	357	610	325	415	81	1642	538	50	1057	3726	969	877	1174	491	52	154	150	981	122	410	2367	2786	556	301	1149	2257	679	2688	934	412	547	352	203	0	0	118	140	0	270	0	0	0	194	273	0	0	973	231	0	653	0	158	72	39	0	0	149	0	0	0	53	0	0	0	galactose degradation I (Leloir pathway)
PWY-6318	1071	1376	1196	3133	1132	1604	2640	1061	349	1955	6198	1613	1560	2260	851	680	1472	2312	2037	1222	1583	5437	8577	1749	1867	3722	5628	2871	6295	1712	2371	1590	2114	881	93	90	276	661	138	920	134	86	277	963	567	75	166	2023	1135	137	1497	88	455	427	418	175	483	816	121	315	134	225	99	97	119	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-6342	559	281	525	165	548	60	1519	546	32	836	3731	898	777	883	421	17	109	636	1793	1435	1472	5348	4348	1779	1226	2544	2948	2038	2623	1925	1455	1804	1141	653	121	121	300	432	114	572	172	119	120	493	595	87	117	1481	568	125	830	116	295	286	47	219	48	442	146	63	181	257	137	135	165	noradrenaline and adrenaline degradation
PWY-6351	576	1414	1434	3156	807	1529	2888	1136	352	3103	7563	2182	1799	13250	1039	637	1445	2534	2046	1307	1330	5916	5368	1983	1319	2278	7651	1934	7142	2108	2191	1680	1938	768	95	90	264	284	157	562	137	84	327	393	596	80	208	2033	406	167	1656	97	421	266	411	181	482	508	180	331	133	294	97	95	116	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-6435	803	319	661	537	745	226	4134	1199	44	3351	8421	919	2145	15844	1067	87	368	1586	2876	2869	2462	8843	5080	3098	2134	3776	9231	3270	5847	3317	2667	3192	2277	1231	234	234	452	572	239	799	334	229	294	632	811	172	269	1929	704	272	1122	243	493	464	118	428	131	697	330	164	349	537	263	258	316	4-hydroxybenzoate biosynthesis V
PWY-6527	450	1182	1415	1687	699	408	2336	864	274	2435	5925	2204	1514	10449	792	75	568	1555	1829	1178	1167	5015	4914	1691	1059	1864	5861	1632	5318	1806	1699	1514	1492	615	91	88	247	240	128	455	130	84	229	310	529	72	160	1763	323	138	1420	92	339	217	159	170	212	390	154	178	131	255	97	95	116	stachyose degradation
PWY-6545	322	167	312	175	363	164	1690	676	0	1296	4790	152	977	615	651	85	231	954	986	840	794	3276	1794	1157	746	1249	3461	1085	3841	1141	1143	974	962	452	63	59	140	158	95	317	91	55	167	198	307	53	123	1037	188	101	703	64	181	163	85	120	77	283	98	93	88	152	63	62	76	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-6595	571	1328	1392	2920	783	1441	2924	1098	334	2549	7615	2107	1732	8870	1034	604	1353	2165	2001	1512	1459	5973	5304	2039	1263	2290	6199	1973	6866	2167	1964	1841	1725	745	124	122	301	311	155	575	178	118	284	382	613	96	192	1935	392	166	1554	118	365	276	380	230	426	482	186	286	181	298	135	133	163	superpathway of guanosine nucleotides degradation (plants)
PWY-6606	605	1390	1460	3038	827	1497	3001	1142	348	2646	7995	2199	1823	8962	1081	627	1410	2262	2112	1592	1539	6269	5615	2140	1343	2430	6472	2097	7206	2264	2072	1937	1822	789	130	128	317	332	163	607	188	124	297	412	644	101	200	2031	425	175	1620	125	386	293	397	243	445	512	199	299	191	319	142	140	171	guanosine nucleotides degradation II
PWY-6608	425	1210	994	2880	597	1448	1147	835	310	2262	5967	1263	1293	8764	806	598	1352	1819	1053	229	307	2268	4116	556	584	1147	5062	775	5902	879	1216	398	1127	347	8	4	66	121	63	249	13	0	200	249	188	15	98	1305	252	64	1018	6	262	108	374	21	416	285	57	258	4	109	0	0	0	guanosine nucleotides degradation III
PWY-6609	335	1006	801	2416	476	1199	870	678	258	1919	4596	1003	1018	8430	634	500	1114	1495	806	159	216	1679	3273	399	435	865	4201	568	4634	660	946	281	881	260	5	3	46	89	47	185	9	0	161	187	136	11	75	1033	189	47	812	4	208	79	309	15	348	218	41	215	3	79	0	0	0	adenine and adenosine salvage III
PWY-6837	375	1176	1015	2883	560	1478	1717	771	327	2167	4837	1432	1183	8589	687	605	1346	1952	1205	805	791	3237	4099	1147	825	1345	5035	1192	5259	1161	1463	974	1269	479	55	53	143	162	94	349	80	49	227	259	308	47	131	1359	280	98	1110	64	266	166	364	106	421	341	103	261	77	168	56	55	68	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-6857	249	0	0	0	189	0	261	59	0	0	87	0	124	311	0	0	24	65	0	147	247	461	1539	107	354	815	292	554	66	142	280	171	257	165	0	0	0	154	0	183	0	0	0	240	0	0	0	0	299	0	0	23	0	72	0	0	0	147	0	0	0	0	0	0	0	retinol biosynthesis
PWY-6936	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	8	22	0	48	33	102	0	35	24	53	0	41	11	47	34	56	20	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	seleno-amino acid biosynthesis
PWY-7007	629	259	528	436	603	183	1928	960	35	2634	6599	717	1587	10733	851	70	300	1324	1850	1407	1381	5462	4083	1908	1603	2528	7179	2288	4822	1792	2158	1580	1852	909	99	91	198	360	181	578	143	82	244	505	448	89	209	1494	559	191	893	108	380	334	97	193	107	560	188	136	132	293	94	92	113	methyl ketone biosynthesis
PWY-7039	7	7	0	155	56	224	192	0	0	181	18	6	37	0	0	9	122	337	0	80	49	110	310	167	66	106	467	60	8	29	25	45	12	39	0	0	0	0	0	157	0	0	41	54	76	0	29	172	43	0	165	0	34	37	0	0	66	78	0	0	0	0	0	0	0	phosphatidate metabolism, as a signaling molecule
